Header|Theme|Variables
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_BNN - There was no need for respondents to use such devices or systems connected to the Internet
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_bcst - too high costs
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_Blc - lack of compatibility with other devices or systems
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IOT_BLSK - lack of knowledge of dealing with these devices or systems
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_BCPP - concerns about the privacy and the protection of data of the respondent in these devices or systems
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_BCSC - concerns about security, e.g.B. because the device or system could be hacked
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_Both - Other reasons
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_IUTV - Use on the Internet of a television device connected to the Internet in the respondent's apartment for private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IOT_IUGC - use via the Internet of a game console connected to the Internet in the respondent's apartment for private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_iuha-Use on the Internet of a home audio system connected to the Internet or intelligent speaker in the respondent's apartment for private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_DHE - Use of devices associated with the Internet to monitor blood pressure, blood sugar levels, body weight or other devices connected to the Internet for health and medical care for private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_DToy - Use of toys connected to the Internet such as robot toys (also for educational purposes) or dolls for private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|IoT_DCAR - Use of a motor vehicle with built -in wireless internet connection to private purposes
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Geo_nuts1 - residence region (Nuts1)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Geo_nuts2 (optional) - residence region (Nuts2) (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Geo_nuts3 (optional) - residence region (Nuts3) (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Geo_Dev - Location of the place of residence
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|DEG_Urba - degree of urbanization
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|HH_POP - household size (number of household members)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_pop_16_24 (optional) - number of household members between the ages of 16 and 24 (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|HH_POP_16_24S (optional) - Number of students in the household between the ages of 16 and 24 (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_pop_25_64 (optional) - number of household members between the ages of 25 and 64 (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_pop_65_max (optional) - number of household members aged 65 or older (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|HH_CHILD - Number of children under 16 & nbsp; years
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_child_14_15 (optional) - Number of children aged 14 to 15 (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_child_5_13 (optional) - number of children aged 5 to 13 (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_child_le_4 (optional) - Number of children aged 4 or disciples (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_iq - ongoing monthly average net income overall (quarters)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Hh_iq5 - ongoing monthly average net income overall (quintile)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|AGE - Age (in full years)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Rf_age (calculated) - risk factor age
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Sex - gender
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|CNTRYB - country of birth
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|CNTRYB1 country of birth (if abroad)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|CNTRYC - nationality
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|CNTRYC1 - citizenship (if not Austria)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|ISCED - educational qualification aggregated
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|ISCEDD - educational qualification (highest successfully completed educational level)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|RF_EDU1 (calculated) - Risk factor of education
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst - employment status in the main activity
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst_det (optional) - employment status in the main activity (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst_wkt (optional) - full or part -time employment - main activity (according to your own statements) (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst_Contr (optional) - unlimited/temporary activity - main activity (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst_oth (optional) - Reason for non -employment (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Empst_sect (optional) - Wirtship of the Local Unity - Main activity (optional)
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|Rf_empst (calculated) - risk factor employment status in the main activity
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|OCC_ICT-ICT specialist or non-vertical specialist
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|OCC_MAN - worker or employee
IKTH2020 - Use of information and communication technologies in households 2020|Cloud, cookies, data protection, digital economy and society, digitization, e-government, e-mails, ICT, information and communication technologies, Internet, Internet of Things (IoT), Internet access, online identification procedures, online banking, online purchases,Security software, smart home devices or systems, social media, immediate messages, social media, video calls|OCC (optional) - in the main activity practiced profession (optional)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Referenceyear year of the survey
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Countrycode - residential country
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Survey - survey
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Embargodate - earliest possible publication
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Stratum_id - layer
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|PSU - primary sample unit
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Hh_id - budget detection
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|HH_WGHT - Weight of the household
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Ind_id - individual creation
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Ind_wght - individual weight
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Hh_ref_id - identification of the household to which the individual belongs
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Intdate - reference time - date of the first survey
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Int_type - type of survey
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Time - duration of the survey
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IACC - Access of the household to the Internet at home (regardless of the device)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|BBFIX - Use of landline broadband connections for internet access at home
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|BBMOB - Use of mobile broadband connections for internet access at home (via a mobile network, at least 3G)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IU - Last use of the Internet in any location with any suitable device
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IFU - Average frequency of using the Internet in the last 3 & nbsp; months
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IFU_D - Use of the Internet several times a day
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUG_DKPC - Use of the Internet in the last 3 & nbsp; months on a desktop computer
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUG_LPC - Use of the Internet in the last 3 & nbsp; months on a laptop
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUG_TPC - Use of the Internet in the last 3 & nbsp; months on a tablet
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUG_MP - Use of the Internet in the last 3 & nbsp; months on a mobile phone or smartphone
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUG_OTH1-Use of the Internet in the last 3 & nbsp; months on other devices (e.g. & nbsp; b. Smart TV, intelligent loudspeaker, game console, e-book reader, intelligent wristwatch)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUEM - Use of the Internet in the last 3 & nbsp; months to private purposes to send and/or receive emails
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUPPH1 - Use of the Internet in the last 3 & nbsp; months for private purposes for phone calls via the Internet (including video calls)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Iusnet - Use of the Internet in the last 3 & nbsp; months for private purposes to take part in social networks (creation of a user profile, discontinuation of messages or other articles)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Iuchat1 - Use of the Internet in the last 3 & nbsp; months for private purposes for immediate message services (news exchange)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUNW1 -Use of the Internet in the last 3 & nbsp; months to private purposes to read online messages, newspapers or magazines
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IHIF - Use of the Internet in the last 3 & nbsp; months for private purposes to search for health information (e.g. & nbsp; b. About injuries, illnesses, nutritional questions, healthier life)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUIF - Use of the Internet in the last 3 & nbsp; months for private purposes to search for information about goods or services
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUPOL2 - Use of the Internet in the last 3 & nbsp; months for private purposes to comment on websites or on social media on civil society or political issues
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Iuvote - Use of the Internet in the last 3 & nbsp; months for private purposes to take part in online consultations or votes on civil society or political issues (e.g. & nbsp;
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Iujob - use of the Internet in the last 3 & nbsp; months to private purposes to search for a job or to submit a job application
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|Iusell - Use of the Internet in the last 3 & nbsp; months to private purposes to sell goods or apps via websites or apps
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUBK-Use of the Internet in the last 3 & nbsp; months for private purposes for online banking (including mobile banking)
IKTH2021 - Use of information and communication technologies in households 2021|Data protection, digital skills, digital economy and society, digitization, e-government, emails, e-skills, false information, ICT, information and communication technologies, Internet, Internet access, laptop, mobile phone, online banking, online purchases, PC, Smartphone, social media, immediate messages, social media, tablet, video calls|IUOLC- Use of the Internet in the last 3 & nbsp; months for learning activities for training, professional or private wakes by participating in an online course
